Account,Token Account,Quantity,Percentage
4eCsDGPRL7yEBNkUBzAdB88HuT91fAvL3zdbsHZN4yn4,4BtyS624mS44jc7GUNqvEddgUsKdqC85ENQ1uLbN9woa,2361928.87434,0.24
YbHXPGcWz7C4AfavQAL4mNfHVSDoGsMTVmZNbmEf3Gs,Btky48g8tT8zKzr6BAVfyD3yktYy7iiYHCSapud5DXLy,2344098.860626,0.23
3kdPcpBmGSg3WJ4GMjQhjC9G7N4b8kya7anm7DzCozTS,5SoBo5Zz6KiNSHtLTz5VyKBG5qDSX49Ezt4tFtgetoPC,2258623.554111,0.23
3cQTRqJCiwBzbkVQc2CJqDoxKuhfzkxQEb8BFqdhYDJk,68zkSqeVtwedNyx9gvUJhN3sPUJ2n89AmHqonxnS2m3f,2250058,0.23
9ghGff7PBn4FB6FeQ28CH4j9WWR4s4hM6sjwyaqMeKJb,9EB7vY2WKjJo9iLxHwcFwaS2gbnUn4gSTLejrxwy2qxD,2249999,0.23
F3sHJ8ptdZNhXZMHW7ex4dBoFSyABv3omrkNHPQetbiU,HT4sHhJMwy3SstkipzEruWtyQSTt2vpb9DRfNu9uvUKd,2219801.32011,0.22
F59XhbRgYiJrFr7yZeYKsudPo5u7vkeLufZeykwzxxu1,76k5tvk1RJG766ZwxCMgja9tbszYWCW1WfoBKVvNGhXu,2178909.403623,0.22
1KKeJG918fVszRF2jJn7sNwzkh7zMaceK7Q6xyVsEe7,5K4hhBXaY71fRZhR3WuMRWVwk8vqvhDRhsYjQ5w7JzUB,2168124.00896,0.22
6N3HNQXq6hj5VyzHRAAsFGT6NBcsVEZPimMqnusZuRr2,B7Gf4gfrAXW5GA9YfeNMLUk8pg9WNzGeWjmSZf4gBnrU,2123953.917812,0.21
6ZK8mDPSVusp9kbzXAKzhDCNpdRLt4S9LyWL7NiVYDnS,6fz1pg2EXJiQvFCCYFVWHQkRicEDApfPueGyDn6SgcBN,2105461.322667,0.21
8s9j5qUtuE9PGA5s7QeAXEh5oc2UGr71pmJXgyiZMHkt,v9nuaogaut2Eqi8kXfMwYBugYXoSqVggEUtX8LeG7mL,2104222.702699,0.21
5Kdw3HUdGyqa6SvrzcxeDLQcPS8f9AKU3aa9T97PCj54,9tzYxZxXwAD7dTESsaN4hb4NLuYbAQ2DRWyiL5Ky7hoX,2079581.556829,0.21
8LX21kZQhLwWnzumegfZs8yuRNFJTBz69QR79fKKDCxN,J7PkfqQAsPsc6GK4FxveBBGY6uBbJ2tSHSmSZWA6vy47,2014348.862186,0.20
CBrQhbsdnuaNTmrSsBVFKdKaNbF4DGFsooNkWfVM8JkG,4TKhx6pJrViSGh4bBT1qvyJB5m6bQFm1htjQaxtUQQxa,2009934.065197,0.20
4zBLFFnD7BNW9XT5USMLdD1BmseQcSFyYGyQswNswJut,HvbP9bKSuyq9mZ9gTbbQL8Xe29z2xMnm659cCwGyvSk7,2002339.880698,0.20
G2Ze8WXCqKjinMgDkd42UBRoHrk4iNAd6H9g3ps9r5LN,Ep1e292xNTC4t7hYCQX9sarRsxAvH7pKgTd96M2f9CQc,2000648.337396,0.20
3vF2hivkX2XF7KQRrqq2efBCMXbwtLbPkZTrfrkLum51,4jAkcw5ujuqfqmzkuWGGHVgAP73tiCXG9nFRNVg1XTtB,2000247.342239,0.20
AxyrCm5yPAvdNbGRnrBJU3QPuaN3K41CsmFQvEDqwKeA,DhCQH79SyWiu8i4R6vpda9Vrp33mv4ouBf4oabcxG4sV,2000000.001063,0.20
EeYGsCHabkSBMJiVUbAV3ghTfkRUqGpigWfoPXdQaR6K,EM5CiccpoT6MNDfBQc8VrvDgNmR9MULsh9s65zhmEZd1,1998324.651157,0.20
D27iCFiNsCVwLeF6q5c2x8bdJYLBCwZSq8spsu73SDjX,9S4ZtxGrudJLqLVvYwJ2EF5YGS6NzPVNNjiBWNuRBZff,1996242.928938,0.20
3Ch5DX7ne6J4kEAF4m6QhBCF2Dkdr6puYDzaghpNmyHa,5q1NEGchZWjUPyfhEnRek7wrWipB5rUhsJxasbsAdnCx,1983232.833417,0.20
4JjbW9wZBgnZT2wacbtdmuW899GinxUnvbLTG6GKFXVM,2tyesVMDcENJKLnQRxHrGhPJeAMbGaaQM9CBLRBTKWqP,1926253.219334,0.19
CrC8p7biiUDAN9AnuHgo1QxYYt2ydfZx3YYZcNoBDBdS,GyHSMTJWKWQKrYZrqFiYsHDBu7WMVo5EraoS5XHSj7rj,1765221.16624,0.18
C36KZ692jSeFAui9kaRcA6ounG6NfUkWjhMCMQmsBK9H,B7ZgQKAmuaRmz49CiJXeZXyJygUKCYEMCz5n2e33LiyW,1750000.216821,0.18
3bghzZWVSSZhRjkWzLhX4JcX2eSiSGjDNVqyT5ffq2id,ETHqN7okXmuB89G1GuSLr7U1KV1JKYemjFT2gQzLLtpc,1741045.086369,0.17
8d8DF3T3LapkkeHXmQtUvKiymcLu3mJAsWiaViewPdVf,A8x712Q3Nugb5geHThPMM5ACuskve4YkJob3X9bJX6Aw,1704800,0.17
8cU2Tf5NzAExEY9YJp5fVMHHy92oFiwtCireq5BqWyeD,AhHRAvKsidByJgMps17q6awRcqXBSxAWVCCesbEoDpxG,1704561.462986,0.17
6pdW71Z5Ubk1xxBShMBJtFGVXz24JMQUhCXdPAwu9k84,7h2gThzoexbXux4TJN2tX85zR9qWd2rY26rvgUfFYciB,1590602.54434,0.16
BjV4sPsPRF3TWfmDaJBoun8hzNckWQGuYfugPD84vQve,inBi9uBRkm68P4cP8se5Aes39R9feomAWqeo1WDZfJz,1590299.398112,0.16
DwE6jvaGp92RhGUoHnDFy2WRXXayupgCkFcxKgrmYNkK,5AmxotNNpcvuA2QY1w5L8rZKTK5EhDEwXT41YTejPbEA,1590047.841734,0.16
3tqF7yALcgbW7bTN3hTbBxUZKL1mapmyPt3ShcnHufmG,u4nKznGeUq6Bg2NVc4XRKF9cn4ZNtDCHgWh8L1qYvYu,1569301.96282,0.16
HMkT1NhLtSFghtbR2AByqnK4wvbkSCpu5gvRQBpg5A1t,9CHwHzkgdFj9vQv8arkC6FyN98UPhK9N7Xq6sisLmUVU,1567951.657243,0.16
6pe7TaH26xbFWL1QFs34SwC4HZGygc5SwQq4PSHekKvG,3kBf1DFgXQjTL2VSgP2dSsXneasBEiiQNx3kZ7Tm2Uwe,1565453.610549,0.16
Dw24aXN2Q4LRSU1kV9Pcdvjz7rcm3vjfxmSApJYwpGrF,7iFbMwb7BDD9VGaxd6HxzeBN7QRCSoQahEUycfdWf9F7,1550979.205762,0.16
2WNapVgys8zAwzkoDojPviXUy8rknPLkk2CmENWeviHn,4ozLzNxNJRW9JLU45asVBNmc9VCPSw7Eez6Tq6oVkS7z,1536478.252058,0.15
D3SC4eUoS83wihMdEsNaqx6cpxG9Jr2sRBY8uPhs7r2t,AcyoCbrWYa6oMXjjhKuY7PjU66DdLGYCUNioXVTqVe8Z,1524043.349473,0.15
F6McC55E9qAf6MNhooK5kYvLqh9oFp8Ean3Hf52qX7wC,HSbqNANsGYx31TYMqToPAk3xWbaFcaFkikSPsBbpYkQh,1502288.989224,0.15
BYJAXRFwvJEJrARjsHxaQKSb8XzTzEi9vxmBQPCLHum1,4ocmkvT3vG5qPnbNeAtZGdzWJAqVp7BrTwAwG7w2nXpA,1500000,0.15
c6PrDqXi3QCfCMPNE7YxgX4U6HBQALXH88UZ7JzxP3n,2qM8xSF1Lh93Mp3rz9GgJy69WE8SHZY6ka1VLnSAiWUk,1490010,0.15
C82MekkqwhK4SRDo6jqHE6Qjwd8iydeuTv4bpPa35BQH,Dn7dEPVyH2gpb5cC8ARwdd3UM3TpKLTaU5UhYzKy1JfM,1440778.413544,0.14
DAhwsHMSpA2p6kexgjHAfSF8ZTocbCpsHbp2RPAM7zpi,3ePqiWZCyXbVXStge6Rq467TcW6kvaxhJKHLn6QYoEDv,1430979.511622,0.14
GHjM7cwEMx6xQWDUs3Xemp2J6EhpJCXaTb6WQRXB1mR3,FDRAiaMf3X3qScBjT3nE6JtZDnVahQHZBgDG44Rp7Aea,1407583.809939,0.14
9QScSF5TssogYNUiNJJApXyd8WVbjKwiUXGKuNHv2cuY,BZfaFMbxru2Hitbmth5SWRJvahGw16fEcCxGehng9NTu,1377270.020649,0.14
3brgkW2snQLFKsn22RjmuJVL98g71UwAwGKD6Uiky9yP,E7mjTQimdJifhsPxT1inUZRCTnc1gw5xJcVdbc6FVSUx,1373618.268464,0.14
4jt81yStW8GwcAXBeCKGayusFnTg3NYzNMxgaLwwKUxu,7QWenmv8wst73cZ8Pf5xRBKjyg8S1U4miqczhoxouf27,1358660.655681,0.14
s8PnfKUcP8YHYYPiKwUbMVxBaUBQjkYqS18bzUbx77N,BpEXxyYnescQVAoxcRnHi3StRKFiq7u8UEGacFAvS8SB,1346073.281166,0.13
EHhR4VzQj4HuQnwCLnv4yCyMrLLg9iwAqEDFLzrViZms,27TKQafvLG6UsfVjp3j5zKiM7P7AjCcLKgoxYUzJfTyK,1336780.484779,0.13
Et6DgJN3jr1QzbujE3PyTt4aaTfnHKuUbf7aeDvhFbNu,6UxY4AwvTfrFq3jL1xYKvPsMHN946wdqbA6bcBzCcmHs,1300000,0.13
